Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,"[20, 1098, 858, 913, 1550, 190, 462, 1133, 1581, 849, 319, 185]",21964,22400,436,1.4405619448516518,,,1,800,5,40,5,50,6,,4,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1550, 190, 462, 1133, 1581, 849, 319, 185]",21964,22400,436,0.3031931580044329,,,1,800,5,40,5,50,6,,4,3
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 1011, 297, 378, 1629, 1581, 899, 81, 536, 234]",23452,24000,548,1.8676824260037392,,,1,800,5,40,5,50,6,,4,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 1011, 297, 378, 1629, 1581, 899, 81, 536, 234]",23452,24000,548,0.2593189000617713,,,1,800,5,40,5,50,6,,4,4
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 221, 526, 712, 961, 1629, 101, 414, 560, 32, 44, 454, 536, 234]",26542,27200,658,1.751221447950229,,,1,800,5,40,5,50,6,,4,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 221, 526, 712, 961, 1629, 101, 414, 560, 32, 44, 454, 536, 234]",26542,27200,658,0.19474051101133227,,,1,800,5,40,5,50,6,,4,5
partition_matroid_greedy,"[20, 1098, 858, 913, 1309]",12744,12800,56,1.3548733941279352,,,1,800,5,40,5,50,6,,5,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309]",12744,12800,56,0.23791081993840635,,,1,800,5,40,5,50,6,,5,1
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 44, 471, 1629, 1581, 899]",19697,20000,303,1.6206892861519009,,,1,800,5,40,5,50,6,,5,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 44, 471, 1629, 1581, 899]",19697,20000,303,0.22250860510393974,,,1,800,5,40,5,50,6,,5,2
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 190, 462, 1133, 1251, 1543, 1581, 4, 319, 185, 849]",25814,26400,586,1.4136944520287216,,,1,800,5,40,5,50,6,,5,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 190, 462, 1133, 1251, 1543, 1581, 4, 319, 185, 849]",25814,26400,586,0.23042317596264186,,,1,800,5,40,5,50,6,,5,3
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 221, 1011, 378, 418, 602, 1629, 81, 1003, 1270, 1545, 536, 36]",26654,27200,546,1.914832198061049,,,1,800,5,40,5,50,6,,5,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 221, 1011, 378, 418, 602, 1629, 81, 1003, 1270, 1545, 536, 36]",26654,27200,546,0.2613949808292091,,,1,800,5,40,5,50,6,,5,4
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 221, 805, 526, 712, 1203, 961, 1629, 414, 560, 594, 608, 32, 44, 454, 643]",29879,30400,521,2.035689463140443,,,1,800,5,40,5,50,6,,5,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 221, 805, 526, 712, 1203, 961, 1629, 414, 560, 594, 608, 32, 44, 454, 643]",29879,30400,521,0.2121511860750616,,,1,800,5,40,5,50,6,,5,5
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 221]",14339,14400,61,1.5389785110019147,,,1,800,5,40,5,50,6,,6,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 221]",14339,14400,61,0.27615187293849885,,,1,800,5,40,5,50,6,,6,1
