alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
stochastic_distorted_greedy,"[840, 800, 524, 1649, 1496, 795, 733, 1137, 1640, 1138, 1037, 872, 1291, 1072, 122, 1694, 360, 1336, 1030, 256, 1655, 353, 1684, 735, 174, 1380, 1580, 681, 1753, 1540, 600, 741]",31491,32000,509,0.2385964789937134,,0.005,0.4,800,5,5,33,50,6,
baseline_topk,"[463, 1679, 1408, 741, 793, 1579, 524, 974, 1370, 55, 756, 1169, 1684, 1291, 1753, 477, 798, 20, 1580, 616, 122, 1406, 353, 356, 152, 1192, 1539, 1655, 1694]",31540,32000,460,0.0299514009966515,,,0.4,800,5,5,33,50,6,
stochastic_distorted_greedy,"[774, 833, 381, 212, 215, 1245, 545, 890, 169, 176, 1174, 636, 1287, 989, 1498, 1384, 729, 1456, 534, 739, 1463, 872, 1445, 1349, 1510, 884, 505, 1563, 123, 815, 43, 933, 600, 1729, 1694, 12]",32103,32800,697,0.2402849790014443,,0.1,0.5,800,5,5,34,50,6,
stochastic_distorted_greedy,"[687, 43, 619, 524, 1373, 1043, 178, 900, 888, 1649, 528, 711, 681, 1498, 1465, 1406, 1462, 1729, 933, 174, 232, 613, 176, 534, 815, 250, 1174, 563, 993, 1694, 600, 12, 796]",32938,33600,662,0.23279506499966374,,0.05,0.5,800,5,5,34,50,6,
stochastic_distorted_greedy,"[877, 1062, 87, 199, 174, 793, 517, 43, 266, 224, 712, 772, 296, 123, 1408, 80, 1460, 1349, 1498, 1370, 1287, 1729, 1335, 534, 1580, 933, 232, 1231, 12, 1510, 1694, 499, 796]",32944,33600,656,0.26899498099373886,,0.01,0.5,800,5,5,34,50,6,
stochastic_distorted_greedy,"[1026, 545, 1120, 616, 670, 1189, 432, 1229, 754, 1745, 1085, 221, 741, 1150, 1525, 691, 610, 1423, 993, 1174, 376, 636, 933, 1465, 725, 378, 600, 681, 1498, 796, 1231, 1729, 1486, 123, 1694, 12]",33089,33600,511,0.2909083839986124,,0.005,0.5,800,5,5,34,50,6,
baseline_topk,"[517, 729, 898, 1453, 1451, 1413, 741, 286, 382, 412, 484, 877, 1436, 123, 590, 1287, 757, 1463, 521, 636, 1005, 1580, 1498, 1231, 378, 933, 1726, 600, 1694, 1729, 796, 12]",33133,33600,467,0.03559526200115215,,,0.5,800,5,5,34,50,6,
stochastic_distorted_greedy,"[652, 704, 224, 300, 465, 142, 152, 989, 672, 376, 1155, 1578, 1120, 1056, 432, 296, 31, 1662, 1253, 433, 519, 776, 862, 382, 1046, 250, 719, 1655, 832, 1694]",33043,33600,557,0.2885361369990278,,0.1,0.6,800,5,5,34,50,6,
stochastic_distorted_greedy,"[460, 121, 1029, 37, 1745, 971, 376, 239, 701, 1608, 105, 291, 1493, 1103, 827, 368, 1216, 849, 1636, 878, 178, 566, 1738, 1652, 1026, 0, 169, 862, 719, 832, 1694]",33040,33600,560,0.27019062799809035,,0.05,0.6,800,5,5,34,50,6,
stochastic_distorted_greedy,"[851, 793, 514, 80, 492, 111, 1168, 1526, 989, 645, 1314, 1579, 635, 274, 646, 691, 733, 270, 1046, 1443, 1636, 250, 719, 1065, 1606, 832, 862, 1694]",33132,33600,468,0.3464896149962442,,0.01,0.6,800,5,5,34,50,6,
stochastic_distorted_greedy,"[157, 1751, 287, 1663, 1041, 1591, 1390, 741, 87, 989, 1280, 1046, 238, 1067, 106, 33, 1222, 988, 1443, 1419, 250, 1535, 1370, 1739, 1253, 971, 395, 862, 1694, 832]",33036,33600,564,0.4145673290040577,,0.005,0.6,800,5,5,34,50,6,
baseline_topk,"[1273, 771, 315, 1110, 1230, 1451, 1669, 286, 514, 1168, 545, 898, 528, 484, 1155, 122, 1159, 1280, 53, 395, 169, 1005, 576, 1694, 832, 862]",33244,33600,356,0.06521892100136029,,,0.6,800,5,5,34,50,6,
stochastic_distorted_greedy,"[1470, 295, 401, 264, 396, 1354, 921, 476, 1638, 444, 754, 573, 576, 948, 990, 367, 634, 522, 1756, 1120, 1159, 566, 1517, 846, 514, 832, 856, 37, 1152, 176, 1234, 1232, 358, 1188]",34591,35200,609,0.3788869429990882,,0.1,0.7,800,5,5,35,50,6,
stochastic_distorted_greedy,"[330, 838, 913, 1028, 1155, 1684, 93, 229, 1111, 31, 1179, 325, 1631, 853, 341, 753, 625, 358, 1038, 1633, 1123, 756, 92, 1162, 12, 1293, 1465, 37, 1655, 1231, 796, 849, 832]",34478,35200,722,0.3209378409956116,,0.05,0.7,800,5,5,35,50,6,
stochastic_distorted_greedy,"[706, 630, 672, 1747, 977, 438, 1506, 584, 14, 454, 573, 176, 201, 1691, 754, 1309, 163, 856, 1444, 930, 1580, 890, 1235, 1188, 1620, 31, 358, 1655, 990, 832]",34704,35200,496,0.5034349359993939,,0.01,0.7,800,5,5,35,50,6,
stochastic_distorted_greedy,"[627, 1648, 1216, 510, 122, 801, 123, 1076, 708, 1387, 728, 769, 1234, 623, 20, 28, 820, 1754, 138, 458, 1031, 268, 424, 1739, 169, 1152, 1179, 1402, 37, 977, 176, 358, 1188, 1706, 832]",34499,35200,701,0.48837454200111097,,0.005,0.7,800,5,5,35,50,6,
baseline_topk,"[1273, 806, 1413, 584, 514, 1425, 945, 1123, 1139, 782, 1110, 1230, 436, 241, 484, 1032, 371, 1005, 702, 1231, 119, 562, 33, 31, 1517, 358, 353, 629, 832, 796]",34680,35200,520,0.06322228000499308,,,0.7,800,5,5,35,50,6,
