alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
distorted_greedy,[584],2300,2400,100,0.001678789034485817,,,0.001,800,5,30,2,50,6,
cost_scaled_greedy,[584],2300,2400,100,0.0012935640988871455,,,0.001,800,5,30,2,50,6,
cost_scaled_lazy_exact_greedy,[584],2300,2400,100,0.00043887505307793617,,,0.001,800,5,30,2,50,6,
unconstrained_linear,[584],2300,2400,100,0.0004164049169048667,,,0.001,800,5,30,2,50,6,
unconstrained_distorted_greedy,[584],2300,2400,100,0.0007036420283839107,,,0.001,800,5,30,2,50,6,
stochastic_distorted_greedy,"[1215, 584]",2250,2400,150,0.002630688017234206,,0.01,0.001,800,5,30,2,50,6,
distorted_greedy,"[1024, 1723, 4265, 338, 868, 2242, 3146, 3288, 3427, 1506, 446, 1098, 3208, 4188, 4401, 791, 1805, 695, 3510, 3364, 4270]",19625,23200,3575,15.974501108983532,,,0.1,800,5,40,5,50,6,
cost_scaled_greedy,"[1024, 1723, 4265, 338, 868, 2242, 3146, 3288, 3427, 1506, 446, 1098, 3208, 4188, 4401, 791, 1805, 695]",18580,20000,1420,14.591966395964846,,,0.1,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"[1024, 1723, 338, 4265, 868, 2242, 3146, 3288, 3427, 1506, 446, 1098, 3208, 855, 4401, 791, 1805, 695]",18580,20000,1420,0.02936229610349983,,,0.1,800,5,40,5,50,6,
unconstrained_linear,"[4098, 5, 18, 2097, 2123, 4188, 97, 103, 4265, 2242, 297, 4397, 338, 382, 4532, 695, 791, 1098, 3208, 3288, 3427, 1506]",17855,20000,2145,0.042763678007759154,,,0.1,800,5,40,5,50,6,
unconstrained_distorted_greedy,"[846, 1976, 2097, 1018, 4532, 3313, 1015, 712, 1381, 825, 338, 1159, 3288, 3208, 4265, 1682, 4188, 4270]",14075,16800,2725,0.08395553007721901,,,0.1,800,5,40,5,50,6,
stochastic_distorted_greedy,"[2705, 4561, 4563, 695, 338, 712, 558, 1506, 4089, 1098, 3208, 446, 1024, 4401, 4532, 2242, 2032, 3785, 4188, 3427, 3288, 791]",18245,20800,2555,0.4164614650653675,,0.01,0.1,800,5,40,5,50,6,
distorted_greedy,"[1232, 949, 4346, 4354, 1592, 3791, 960, 4547, 981, 3785, 686, 4136, 290, 297, 3054, 1409, 3773, 1972, 1761, 4563, 3050, 3364]",18535,21600,3065,62.91152864298783,,,0.2,800,5,40,5,50,6,
cost_scaled_greedy,"[1232, 949, 4346, 4354, 1592, 3791, 960, 4547, 981, 3785, 686, 4136, 290, 297, 3054, 1409, 3773, 1972, 1761]",17635,19200,1565,59.69141011999454,,,0.2,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"[1232, 949, 3054, 1592, 2750, 3427, 3791, 960, 981, 3785, 4547, 686, 290, 297, 1409, 3773, 4136, 1972, 1761]",17710,19200,1490,0.04183259594719857,,,0.2,800,5,40,5,50,6,
unconstrained_linear,"[2073, 29, 2078, 2079, 4136, 63, 4320, 4354, 280, 290, 297, 4414, 592, 686, 872, 960, 981, 3054, 1409, 3773, 3785, 1761, 1972]",16530,19200,2670,0.06034418009221554,,,0.2,800,5,40,5,50,6,
unconstrained_distorted_greedy,"[3145, 1625, 4354, 793, 1972, 623, 4547, 4042, 1761, 686, 485, 297, 592, 1592, 3054, 981, 290, 3785]",14265,16000,1735,0.178552774945274,,,0.2,800,5,40,5,50,6,
stochastic_distorted_greedy,"[1335, 4451, 2430, 4354, 410, 4231, 280, 1232, 686, 3054, 3785, 2750, 1761, 1409, 4136, 290, 592, 1972, 297, 4547, 3773, 960, 3364, 4563, 3050]",17955,21600,3645,0.7328882559668273,,0.01,0.2,800,5,40,5,50,6,
distorted_greedy,"[981, 2032, 4529, 833, 3211, 3833, 4532, 1447, 1504, 2432, 2712, 3630, 56, 1194, 2573, 3178, 369, 2145, 2473, 3080, 4004, 220, 1232, 2861, 1611, 3753, 2979, 313, 4438]",29615,32800,3185,140.11326758703217,,,0.3,800,5,40,5,50,6,
cost_scaled_greedy,"[981, 2032, 4529, 833, 3211, 3833, 4532, 1447, 1504, 2432, 2712, 3630, 56, 1194, 2573, 3178, 369, 2145, 2473, 3080, 4004, 220, 1232, 2861, 1611, 3753, 2979]",29215,31200,1985,132.6475262340391,,,0.3,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"[981, 2032, 4529, 833, 3211, 3833, 4532, 1447, 1504, 2432, 2712, 3630, 56, 1194, 2573, 3178, 369, 2145, 2473, 3080, 4004, 220, 1232, 2861, 1611, 3753, 2979]",29215,31200,1985,0.07557286904193461,,,0.3,800,5,40,5,50,6,
unconstrained_linear,"[5, 40, 50, 56, 85, 137, 182, 203, 218, 220, 338, 352, 369, 382, 410, 535, 576, 705, 729, 735, 981, 1194, 1209, 1232, 1611, 2098, 2145, 2473, 2712, 2979, 3178, 3630, 3753, 3833, 4004, 4532]",26681,31200,4519,0.12422014505136758,,,0.3,800,5,40,5,50,6,
unconstrained_distorted_greedy,"[4346, 994, 3441, 3178, 1999, 4031, 1171, 1895, 4019, 352, 3125, 2712, 1447, 569, 2979, 4320, 220, 182, 1611, 203, 705, 1442, 4004, 2473, 1232, 1194, 2098, 4532, 3833]",23581,27200,3619,0.3828715280396864,,,0.3,800,5,40,5,50,6,
stochastic_distorted_greedy,"[1645, 352, 833, 3222, 2297, 270, 981, 2443, 686, 2145, 2473, 2432, 3178, 3441, 2864, 3833, 2573, 705, 410, 182, 56, 3901, 1194, 2979, 2109, 3753, 3080, 220, 4532, 3630, 369, 4004, 1611, 313]",27860,32000,4140,1.2351322950562462,,0.01,0.3,800,5,40,5,50,6,
distorted_greedy,"[142, 622, 2287, 1120, 1517, 1988, 375, 856, 982, 1485, 2420, 2690, 3195, 4170, 636, 1753, 3603, 543, 911, 981, 3134, 2497, 3027, 2218, 401, 2448, 2626, 3050]",27120,30400,3280,252.37581561505795,,,0.4,800,5,40,5,50,6,
cost_scaled_greedy,"[142, 622, 2287, 1120, 1517, 1988, 375, 856, 982, 1485, 2420, 2690, 3195, 4170, 636, 1753, 3603, 543, 911, 981, 3134, 2497, 3027, 2218]",25920,27200,1280,235.70321356400382,,,0.4,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"[142, 622, 2287, 1120, 1517, 1988, 375, 856, 982, 1485, 2420, 2690, 3195, 4170, 636, 1753, 3603, 543, 911, 981, 3134, 2497, 3027, 2218]",25920,27200,1280,0.08762765710707754,,,0.4,800,5,40,5,50,6,
unconstrained_linear,"[21, 60, 81, 105, 106, 133, 142, 203, 218, 266, 375, 376, 487, 509, 543, 583, 636, 856, 911, 961, 981, 1120, 1485, 1753, 1988, 2287, 2497, 3027, 3134, 3603, 4170]",24311,26400,2089,0.11890952801331878,,,0.4,800,5,40,5,50,6,
unconstrained_distorted_greedy,"[3833, 266, 4383, 4480, 1804, 1705, 2163, 3603, 1640, 3599, 1914, 1485, 1747, 543, 4165, 2297, 1818, 1753, 2687, 961, 3368, 2060, 2218, 3050, 636, 2201, 1120, 4170, 3027]",20526,24000,3474,0.5218574090395123,,,0.4,800,5,40,5,50,6,
stochastic_distorted_greedy,"[4461, 4354, 1774, 804, 1988, 681, 376, 4420, 2060, 509, 961, 543, 2531, 4532, 2429, 1914, 982, 3603, 4098, 3027, 636, 1753, 911, 4372, 4313, 981, 142, 3134, 4170, 2218, 2626, 2448, 401, 1120, 3050]",25435,30400,4965,1.7448965880321339,,0.01,0.4,800,5,40,5,50,6,
distorted_greedy,"[4552, 4077, 833, 2473, 266, 4098, 154, 222, 813, 982, 1120, 1963, 1988, 2947, 3007, 3553, 3740, 3878, 3892, 3910, 2987, 1753, 340, 4004, 2217, 220, 297, 1475, 3773, 2862, 2270, 245]",30515,32800,2285,390.81808329804335,,,0.5,800,5,40,5,50,6,
cost_scaled_greedy,"[4552, 4077, 4428, 833, 266, 4098, 154, 399, 813, 982, 1120, 1963, 1988, 2947, 3007, 3553, 3740, 3878, 3892, 3910, 2987, 1753, 340, 4004, 2217, 220, 1475, 3773, 2862, 2270]",29965,32000,2035,363.1822558910353,,,0.5,800,5,40,5,50,6,
