Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,"[4395, 1040, 423, 932, 2328, 975, 863, 410, 17, 1101]",14715,17600,2885,20.535694784019142,,,1,800,5,40,5,50,6,,4,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 2328, 975, 863, 410, 627, 1101]",14315,16800,2485,1.6020817758981138,,,1,800,5,40,5,50,6,,4,3
partition_matroid_greedy,"[4395, 1040, 423, 932, 2775, 2328, 975, 2089, 149, 17, 2606, 2591, 2872]",17610,20800,3190,18.15483314404264,,,1,800,5,40,5,50,6,,4,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 2775, 2328, 975, 2089, 149, 2606, 2591, 2872]",17010,19200,2190,1.5096141279209403,,,1,800,5,40,5,50,6,,4,4
partition_matroid_greedy,"[4395, 1040, 423, 932, 2775, 2328, 975, 2002, 251, 520, 17, 454, 1721, 2416, 245, 374]",19478,23200,3722,15.591476896079257,,,1,800,5,40,5,50,6,,4,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 2775, 2328, 975, 2002, 251, 520, 454, 1721, 2416, 2379, 2448, 3151]",19178,22400,3222,2.349498198833317,,,1,800,5,40,5,50,6,,4,5
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447]",11825,12000,175,10.990102326031773,,,1,800,5,40,5,50,6,,5,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447]",11825,12000,175,1.7480220519937577,,,1,800,5,40,5,50,6,,5,1
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 975, 1590, 1663, 17, 2606]",16275,19200,2925,11.28245691698976,,,1,800,5,40,5,50,6,,5,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 975, 1590, 1663, 2606, 2591]",16075,18400,2325,1.9323028021026405,,,1,800,5,40,5,50,6,,5,2
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2328, 975, 863, 410, 767, 17, 1101]",16940,20000,3060,22.448281520977613,,,1,800,5,40,5,50,6,,5,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2328, 975, 863, 410, 767, 627, 1101]",16540,19200,2660,1.9461282950360328,,,1,800,5,40,5,50,6,,5,3
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2775, 2328, 975, 2089, 149, 492, 17, 2606, 2591, 2872, 374]",20185,24000,3815,20.471689411904663,,,1,800,5,40,5,50,6,,5,4
