alg,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed
distorted_greedy,"{584, 3857, 3667, 3989, 4089}",6871,7200,329,0.6721913879737258,,,0.005,800,5,40,4,50,6
cost_scaled_greedy,"{584, 3857, 3667, 3989, 4089}",6871,7200,329,0.011523351015057415,,,0.005,800,5,40,4,50,6
cost_scaled_lazy_exact_greedy,"{3857, 3667, 3989, 584, 4089}",6871,7200,329,0.0005953329964540899,,,0.005,800,5,40,4,50,6
unconstrained_linear,"{0, 1, 5, 6, 8, 21}",7460,8000,540,0.0008584090392105281,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.003914658969733864,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002115921990480274,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0022424589842557907,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0055495709530077875,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0021475900430232286,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002126231964211911,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0020678769797086716,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0020857570343650877,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002043098967988044,,,0.005,800,5,40,4,50,6
