alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
cost_scaled_partition_matroid_lazy_greedy,[4395],3950,4000,50,1.906555223002215,,,1,800,5,40,5,50,6,,1,1
baseline_topk_matroid,[4395],3950,4000,50,1.439033920003567,,,1,800,5,40,5,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040]",7100,7200,100,1.7006747539999196,,,1,800,5,40,5,50,6,,1,2
baseline_topk_matroid,"[4395, 2053]",7050,7200,150,1.3784430700034136,,,1,800,5,40,5,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423]",8675,8800,125,1.8224998049990973,,,1,800,5,40,5,50,6,,1,3
baseline_topk_matroid,"[4395, 2053, 1562]",7550,8000,450,1.4201058359976741,,,1,800,5,40,5,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 3213]",10225,10400,175,1.7552785599982599,,,1,800,5,40,5,50,6,,1,4
baseline_topk_matroid,"[4395, 2053, 1562, 2328]",8150,8800,650,1.445027014000516,,,1,800,5,40,5,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 2804]",11825,12000,175,1.7837974680005573,,,1,800,5,40,5,50,6,,1,5
baseline_topk_matroid,"[4395, 2053, 1103, 2328, 85]",8950,9600,650,1.6015267460024916,,,1,800,5,40,5,50,6,,1,5
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040]",7100,7200,100,1.9551787659947877,,,1,800,5,40,5,50,6,,2,1
baseline_topk_matroid,"[4395, 2053]",7050,7200,150,1.7505846079948242,,,1,800,5,40,5,50,6,,2,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932]",10250,10400,150,1.8582436719952966,,,1,800,5,40,5,50,6,,2,2
baseline_topk_matroid,"[4395, 2053, 1103, 2328]",8250,8800,550,1.533289909006271,,,1,800,5,40,5,50,6,,2,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 3209, 21]",12575,12800,225,1.8949035029945662,,,1,800,5,40,5,50,6,,2,3
baseline_topk_matroid,"[4395, 2053, 1103, 4315, 3351, 4556]",10695,11200,505,1.491058460000204,,,1,800,5,40,5,50,6,,2,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 1447, 3209, 2775, 2328]",16275,16800,525,2.110967835003976,,,1,800,5,40,5,50,6,,2,4
baseline_topk_matroid,"[4395, 2053, 1103, 1040, 4315, 2328, 1115, 3055]",11250,12000,750,1.513514939993911,,,1,800,5,40,5,50,6,,2,4
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 766, 1071, 1622]",17275,17600,325,2.1836008050013334,,,1,800,5,40,5,50,6,,2,5
baseline_topk_matroid,"[4395, 2053, 1103, 1040, 2328, 1115, 1557, 85, 961, 2775]",12625,13600,975,1.8463538190044346,,,1,800,5,40,5,50,6,,2,5
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423]",8675,8800,125,1.9300547540042317,,,1,800,5,40,5,50,6,,3,1
baseline_topk_matroid,"[4395, 2053, 1103]",7650,8000,350,1.4928338570025517,,,1,800,5,40,5,50,6,,3,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 1447, 3917]",13375,13600,225,1.9022662740026135,,,1,800,5,40,5,50,6,,3,2
baseline_topk_matroid,"[4395, 2053, 1103, 1040, 2328, 1115]",9775,10400,625,1.4983016760015744,,,1,800,5,40,5,50,6,,3,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 1447, 3209, 2328, 21, 1237]",16325,16800,475,1.884014973999001,,,1,800,5,40,5,50,6,,3,3
