alg,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
cost_scaled_greedy,"{2690, 142, 911, 3603, 543, 3134, 2497, 1988, 4170, 1485, 3027, 981, 982, 856, 1753, 1120, 1517, 622, 2287, 2420, 375, 3195, 636}",25520,26400,880,203.27505631401436,,,0.4,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"{2497, 2690, 1988, 4170, 1485, 142, 911, 3603, 3027, 981, 982, 856, 1753, 543, 1120, 1517, 622, 2287, 2420, 375, 3195, 636, 3134}",25520,26400,880,0.0333306550164707,,,0.4,800,5,40,5,50,6,
unconstrained_linear,"{4, 133, 6, 7, 266, 12, 142, 911, 144, 153, 543, 38, 424, 301, 1072, 317, 64, 583, 329, 203, 981, 986, 1120, 487, 105, 629, 1272, 253, 122, 636, 509}",24436,27200,2764,0.12261400796705857,,,0.4,800,5,40,5,50,6,
unconstrained_distorted_greedy,"{4480, 266, 1804, 2060, 3599, 3603, 2201, 1818, 543, 4383, 3368, 1705, 2218, 961, 4165, 4170, 1485, 1747, 3027, 3833, 1753, 1120, 1640, 3050, 2163, 2297, 1914, 636, 2687}",20526,24000,3474,0.6584809229825623,,,0.4,800,5,40,5,50,6,
stochastic_distorted_greedy,"{4480, 4098, 266, 1804, 2060, 142, 3599, 911, 2448, 401, 3603, 1818, 543, 4383, 3368, 1705, 2218, 3134, 961, 2626, 1988, 4165, 4170, 1485, 1747, 3027, 3833, 1753, 1120, 1640, 2163, 2297, 1914, 636, 2687}",25351,29600,4249,1.3395746169844642,,0.01,0.4,800,5,40,5,50,6,
distorted_greedy,"{4098, 2947, 266, 154, 3740, 4004, 3878, 2473, 2217, 1963, 2987, 813, 297, 2862, 3892, 3773, 3007, 833, 1475, 1988, 3910, 4552, 340, 982, 1753, 220, 222, 2270, 1120, 3553, 4077, 245}",30515,32800,2285,431.4793690009974,,,0.5,800,5,40,5,50,6,
cost_scaled_greedy,"{4098, 2947, 266, 399, 154, 3740, 4004, 3878, 2217, 1963, 2987, 813, 2862, 3892, 3773, 3007, 833, 1475, 1988, 3910, 4552, 4428, 340, 982, 1753, 220, 2270, 1120, 3553, 4077}",29965,32000,2035,397.1264006749843,,,0.5,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"{833, 4098, 2947, 1475, 1988, 3910, 4552, 266, 4428, 399, 340, 982, 1753, 154, 3740, 220, 2270, 1120, 3553, 4004, 3878, 2217, 1963, 2987, 813, 2862, 4077, 3892, 3773, 3007}",29965,32000,2035,0.046772865985985845,,,0.5,800,5,40,5,50,6,
unconstrained_linear,"{1, 6, 8, 9, 266, 781, 271, 399, 154, 1178, 157, 927, 288, 33, 294, 551, 40, 424, 1067, 301, 813, 1072, 692, 60, 197, 1103, 340, 85, 982, 1753, 220, 222, 98, 356, 495, 629, 509}",27261,30400,3139,0.16081961401505396,,,0.5,800,5,40,5,50,6,
unconstrained_distorted_greedy,"{2432, 4098, 3468, 142, 399, 273, 3993, 2344, 1705, 40, 1323, 3244, 297, 2216, 2217, 2608, 3892, 2746, 4413, 3773, 1475, 3910, 4298, 4428, 2134, 982, 1753, 3033, 2906, 2270, 2279, 4077, 3056, 2810}",25400,28800,3400,0.7939283819869161,,,0.5,800,5,40,5,50,6,
stochastic_distorted_greedy,"{4098, 3468, 142, 399, 1040, 3993, 2211, 4004, 2344, 1705, 40, 297, 3244, 2216, 2217, 3892, 2746, 4413, 3773, 1475, 3910, 4298, 2638, 3281, 340, 982, 1753, 3033, 2906, 220, 2270, 863, 2279, 4077, 495, 3056, 245, 375, 2810}",28631,32800,4169,2.074282443965785,,0.01,0.5,800,5,40,5,50,6,
distorted_greedy,"{3059, 895}",3075,3200,125,0.01216291100718081,,,0.005,800,5,40,4,50,7,
cost_scaled_greedy,"{3059, 895}",3075,3200,125,0.009618190990295261,,,0.005,800,5,40,4,50,7,
cost_scaled_lazy_exact_greedy,"{3059, 895}",3075,3200,125,0.00039759400533512235,,,0.005,800,5,40,4,50,7,
unconstrained_linear,"{0, 1, 6}",4375,4800,425,0.0008018880034796894,,,0.005,800,5,40,4,50,7,
unconstrained_distorted_greedy,"{3059, 895}",3075,3200,125,0.0016618380323052406,,,0.005,800,5,40,4,50,7,
stochastic_distorted_greedy,"{3059, 895}",3075,3200,125,0.004280652035959065,,0.01,0.005,800,5,40,4,50,7,
distorted_greedy,"{1409, 2589, 356, 4, 358, 231, 1163, 4396, 909, 2687, 3087, 1457, 3383, 1078, 3350, 3417, 4346, 2333, 511}",17661,19200,1539,11.258614536956884,,,0.1,800,5,40,5,50,7,
cost_scaled_greedy,"{1409, 2589, 356, 4, 231, 1163, 4396, 909, 2687, 3087, 1457, 3383, 1078, 3350, 3417, 4346, 2333, 511}",17361,18400,1039,10.083213281002827,,,0.1,800,5,40,5,50,7,
cost_scaled_lazy_exact_greedy,"{1409, 4, 1163, 511, 909, 3087, 3417, 2589, 2333, 356, 231, 4396, 1965, 1457, 1078, 3383, 4346, 2687}",17361,18400,1039,0.011321925965603441,,,0.1,800,5,40,5,50,7,
unconstrained_linear,"{419, 4, 68, 6, 38, 69, 9, 268, 113, 273, 369, 22, 55, 88, 409, 154, 251, 29}",15020,16800,1780,0.018413626006804407,,,0.1,800,5,40,5,50,7,
unconstrained_distorted_greedy,"{3200, 4, 2570, 1163, 909, 3350, 3863, 3611, 2333, 1701, 3247, 4016, 1457, 1078, 2265, 4314, 4313, 2397, 3313, 4346, 511}",14495,16800,2305,0.06951913400553167,,,0.1,800,5,40,5,50,7,
stochastic_distorted_greedy,"{3200, 1409, 4, 1163, 511, 909, 3350, 3863, 3611, 2589, 2333, 1701, 4396, 1457, 1078, 3895, 2265, 4314, 4444, 2397, 358, 761, 4346, 2687}",16686,19200,2514,0.24304202402709052,,0.01,0.1,800,5,40,5,50,7,
distorted_greedy,"{2304, 3331, 131, 3468, 1550, 1682, 2455, 4395, 4016, 2227, 439, 584, 1617, 3417, 860, 3552, 3306, 622, 3566, 115, 1143}",19115,22400,3285,47.136340967030264,,,0.2,800,5,40,5,50,7,
cost_scaled_greedy,"{3552, 2455, 3331, 131, 584, 3306, 4395, 3468, 622, 3566, 4016, 1617, 115, 2227, 1143, 3417, 860}",17915,19200,1285,38.96096944104647,,,0.2,800,5,40,5,50,7,
cost_scaled_lazy_exact_greedy,"{3331, 131, 584, 3468, 1617, 2455, 3417, 860, 3552, 3306, 4395, 622, 3566, 4016, 115, 2227, 1143}",17915,19200,1285,0.016268045001197606,,,0.2,800,5,40,5,50,7,
unconstrained_linear,"{131, 4, 6, 8, 520, 266, 11, 142, 23, 288, 297, 173, 301, 55, 317, 703, 78, 85, 92, 110, 494, 115, 757}",18380,20000,1620,0.051281976979225874,,,0.2,800,5,40,5,50,7,
