alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
cost_scaled_partition_matroid_lazy_greedy,[1089],3998,4000,2,0.37712076600291766,,,1,800,5,5,35,50,6,,1,1
baseline_topk_matroid,[1089],3998,4000,2,0.26256016900151735,,,1,800,5,5,35,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139]",7995,8000,5,0.36790761500014924,,,1,800,5,5,35,50,6,,1,2
baseline_topk_matroid,"[1089, 370]",4795,4800,5,0.2928335549950134,,,1,800,5,5,35,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1591]",11985,12000,15,0.46539720900182147,,,1,800,5,5,35,50,6,,1,3
baseline_topk_matroid,"[1089, 370, 766]",6390,6400,10,0.32406122400425375,,,1,800,5,5,35,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 362, 110]",15160,15200,40,0.3554794529991341,,,1,800,5,5,35,50,6,,1,4
baseline_topk_matroid,"[1089, 1273, 1139, 1209]",11985,12000,15,0.251580322998052,,,1,800,5,5,35,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413, 485, 57]",17569,17600,31,0.3506431119967601,,,1,800,5,5,35,50,6,,1,5
baseline_topk_matroid,"[1089, 1273, 485, 766, 1328]",13578,13600,22,0.26496525600668974,,,1,800,5,5,35,50,6,,1,5
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139]",7995,8000,5,0.4205754399954458,,,1,800,5,5,35,50,6,,2,1
baseline_topk_matroid,"[1089, 1273]",7196,7200,4,0.24558661299670348,,,1,800,5,5,35,50,6,,2,1
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413, 106]",15169,15200,31,0.2999451719952049,,,1,800,5,5,35,50,6,,2,2
baseline_topk_matroid,"[1089, 1273, 1139, 485]",14388,14400,12,0.2365399710033671,,,1,800,5,5,35,50,6,,2,2
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413, 106, 771, 1540]",19941,20000,59,0.2933530919981422,,,1,800,5,5,35,50,6,,2,3
baseline_topk_matroid,"[1089, 1273, 1139, 766, 240, 1328]",14372,14400,28,0.2635918860032689,,,1,800,5,5,35,50,6,,2,3
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413, 106, 771, 517, 33, 1253]",23889,24000,111,0.31648146800580435,,,1,800,5,5,35,50,6,,2,4
baseline_topk_matroid,"[1089, 1273, 1139, 485, 766, 1603, 1209, 286]",18360,18400,40,0.2403416590022971,,,1,800,5,5,35,50,6,,2,4
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413, 485, 106, 701, 1309, 703, 505, 1255]",27913,28000,87,0.2931448689996614,,,1,800,5,5,35,50,6,,2,5
baseline_topk_matroid,"[1089, 1273, 1139, 485, 766, 979, 1209, 59, 573, 1076]",19937,20000,63,0.2428915179989417,,,1,800,5,5,35,50,6,,2,5
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413]",11989,12000,11,0.3058386460033944,,,1,800,5,5,35,50,6,,3,1
baseline_topk_matroid,"[1089, 1273, 1139]",11193,11200,7,0.247559227005695,,,1,800,5,5,35,50,6,,3,1
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413, 485, 106, 739]",20752,20800,48,0.36826061299507273,,,1,800,5,5,35,50,6,,3,2
baseline_topk_matroid,"[1089, 1273, 1139, 485, 766, 979]",16777,16800,23,0.24667083200620255,,,1,800,5,5,35,50,6,,3,2
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413, 485, 106, 1036, 1309, 20, 459]",26309,26400,91,0.2935787550013629,,,1,800,5,5,35,50,6,,3,3
baseline_topk_matroid,"[1089, 1273, 1139, 485, 766, 240, 1328, 1638, 9]",19148,19200,52,0.2478275579996989,,,1,800,5,5,35,50,6,,3,3
