alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,[3351],5575,5600,25,8.158174150041305,,,1,800,5,5,40,50,6,,1,1
cost_scaled_partition_matroid_greedy,[3351],5575,5600,25,8.40027053799713,,,1,800,5,5,40,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,[3351],5575,5600,25,2.080036621016916,,,1,800,5,5,40,50,6,,1,1
baseline_topk_matroid,[3351],5575,5600,25,1.3416179360356182,,,1,800,5,5,40,50,6,,1,1
partition_matroid_greedy,"[3351, 2976]",9875,10400,525,8.138450607017148,,,1,800,5,5,40,50,6,,1,2
cost_scaled_partition_matroid_greedy,"[3351, 2976]",9875,10400,525,8.127141602977645,,,1,800,5,5,40,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[3351, 2976]",9875,10400,525,1.68254099303158,,,1,800,5,5,40,50,6,,1,2
baseline_topk_matroid,"[3351, 2976]",9875,10400,525,1.6377716370043345,,,1,800,5,5,40,50,6,,1,2
partition_matroid_greedy,"[3351, 2976, 3133]",10875,12000,1125,8.589861877029762,,,1,800,5,5,40,50,6,,1,3
cost_scaled_partition_matroid_greedy,"[3351, 2976, 3133]",10875,12000,1125,8.449918631988112,,,1,800,5,5,40,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[3351, 2976, 3133]",10875,12000,1125,1.9205440240330063,,,1,800,5,5,40,50,6,,1,3
baseline_topk_matroid,"[3351, 2976, 3133]",10875,12000,1125,1.4387082180473953,,,1,800,5,5,40,50,6,,1,3
partition_matroid_greedy,"[3351, 85, 2976]",11375,12000,625,15.450673457002267,,,1,800,5,5,40,50,6,,1,4
cost_scaled_partition_matroid_greedy,"[3351, 85, 2976]",11375,12000,625,15.094077927991748,,,1,800,5,5,40,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 2976]",11375,12000,625,1.7009046360035427,,,1,800,5,5,40,50,6,,1,4
baseline_topk_matroid,"[3351, 55, 2976]",11375,12000,625,1.4051503740483895,,,1,800,5,5,40,50,6,,1,4
partition_matroid_greedy,"[3351, 85, 1198, 2976]",12775,13600,825,11.07684773701476,,,1,800,5,5,40,50,6,,1,5
