Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
stochastic_distorted_greedy_0.1,[523],2390,2400,10,0.0005310480046318844,,0.1,0.001,800,1,3,1,50,6,
stochastic_distorted_greedy_0.1,"[492, 59, 1104, 1072, 1611, 376, 1463, 916, 1380, 1152, 1744, 935, 986, 296, 245, 1601, 1403, 1736, 1679, 653, 1070, 502, 1467, 1008, 88, 263]",22709,23200,491,0.04355705600028159,,0.1,0.1,800,5,5,25,50,6,
stochastic_distorted_greedy_0.1,"[762, 519, 754, 1391, 1671, 296, 1552, 933, 1649, 52, 1438, 376, 729, 702, 1635, 179, 1324, 1403, 412, 776, 1097, 24, 1164, 1299, 1072, 1138, 563, 174, 534, 796]",27488,28000,512,0.07402553300198632,,0.1,0.2,800,5,5,30,50,6,
stochastic_distorted_greedy_0.1,"[1317, 1399, 690, 974, 91, 229, 264, 1138, 1343, 1649, 815, 1553, 169, 1640, 122, 1684, 811, 505, 1291, 761, 176, 1311, 359, 353, 1174, 793, 37, 927, 894, 592, 296, 1694, 256]",30552,31200,648,0.17466090200468898,,0.1,0.3,800,5,5,33,50,6,
stochastic_distorted_greedy_0.1,"[988, 1487, 508, 729, 457, 271, 728, 1408, 196, 1485, 137, 899, 1026, 1370, 1736, 608, 1702, 1649, 51, 1640, 37, 1303, 1694, 1739, 800, 116, 927, 1240, 616, 152, 1192, 122, 1030, 1539]",31313,32000,687,0.1914243479986908,,0.1,0.4,800,5,5,33,50,6,
stochastic_distorted_greedy_0.1,"[774, 833, 381, 212, 215, 1245, 545, 890, 169, 176, 1174, 636, 1287, 989, 1498, 1384, 729, 1456, 534, 739, 1463, 872, 1445, 1349, 1510, 884, 505, 1563, 123, 815, 43, 933, 600, 1729, 1694, 12]",32103,32800,697,0.2402849790014443,,0.1,0.5,800,5,5,34,50,6,
stochastic_distorted_greedy_0.1,"[652, 704, 224, 300, 465, 142, 152, 989, 672, 376, 1155, 1578, 1120, 1056, 432, 296, 31, 1662, 1253, 433, 519, 776, 862, 382, 1046, 250, 719, 1655, 832, 1694]",33043,33600,557,0.2885361369990278,,0.1,0.6,800,5,5,34,50,6,
stochastic_distorted_greedy_0.1,"[1470, 295, 401, 264, 396, 1354, 921, 476, 1638, 444, 754, 573, 576, 948, 990, 367, 634, 522, 1756, 1120, 1159, 566, 1517, 846, 514, 832, 856, 37, 1152, 176, 1234, 1232, 358, 1188]",34591,35200,609,0.3788869429990882,,0.1,0.7,800,5,5,35,50,6,
stochastic_distorted_greedy_0.1,"[1648, 514, 240, 354, 348, 1366, 1473, 806, 108, 1224, 494, 278, 1255, 1179, 857, 302, 1343, 582, 225, 1006, 1229, 606, 458, 1517, 1608, 634, 602, 592, 31, 719, 629, 832]",34604,35200,596,0.4241902060020948,,0.1,0.8,800,5,5,35,50,6,
stochastic_distorted_greedy_0.1,"[214, 311, 202, 306, 1300, 714, 91, 1269, 1077, 1491, 59, 1028, 563, 8, 440, 605, 291, 305, 1759, 1176, 1548, 1620, 1315, 539, 1298, 345, 212, 353, 1655, 1637]",34682,35200,518,0.4729443020041799,,0.1,0.9,800,5,5,35,50,6,
stochastic_distorted_greedy_0.1,"[97, 1750, 246, 89, 677, 713, 475, 982, 68, 194, 1550, 1001, 347, 981, 1318, 991, 546, 1362, 964, 638, 1465, 410, 897, 858, 110, 1309, 312, 1298, 862]",35501,36000,499,0.5838711120013613,,0.1,1.0,800,5,5,35,50,6,
stochastic_distorted_greedy_0.1,[],0,0,0,0.00043186800030525774,,0.1,0.001,800,0,1,1,50,7,
stochastic_distorted_greedy_0.1,"[1732, 1755, 1005, 140, 1118, 396, 1016, 1288, 1256, 1315, 1529, 1698, 1285, 1350, 1535, 141, 464, 1171]",18884,19200,316,0.036831876997894135,,0.1,0.1,800,5,5,25,50,7,
stochastic_distorted_greedy_0.1,"[474, 464, 1561, 1227, 1417, 506, 43, 901, 623, 517, 1432, 37, 130, 1677, 1260, 540, 1005, 1054, 1231, 671, 1320, 1008, 1606, 325]",25035,25600,565,0.08320665700011888,,0.1,0.2,800,5,5,30,50,7,
stochastic_distorted_greedy_0.1,"[1008, 956, 1678, 237, 1510, 1447, 1231, 146, 716, 1347, 188, 259, 325, 1011, 326, 637, 1561, 869, 1346, 540, 458, 1315, 1288, 1707, 832, 681, 1021, 270, 503, 1319, 887, 410]",29804,30400,596,0.14230795700132148,,0.1,0.3,800,5,5,32,50,7,
stochastic_distorted_greedy_0.1,"[701, 325, 179, 430, 1240, 96, 1075, 1575, 1011, 1629, 1723, 972, 53, 1707, 837, 1221, 386, 110, 1133, 1548, 1318, 237, 970, 681, 1132, 1317, 1580, 464, 1294, 746, 915, 1192, 623, 954, 756, 1697, 1722]",31154,32000,846,0.20939378299954114,,0.1,0.4,800,5,5,33,50,7,
stochastic_distorted_greedy_0.1,"[1064, 1005, 1002, 680, 215, 1364, 573, 800, 981, 1319, 403, 1022, 110, 837, 762, 1226, 887, 511, 1127, 1260, 1324, 1406, 171, 1510, 1188, 1021, 477, 1605, 116, 1361, 43, 464, 1697, 334, 729]",32212,32800,588,0.2446196259988937,,0.1,0.5,800,5,5,34,50,7,
stochastic_distorted_greedy_0.1,"[858, 810, 1376, 464, 1085, 713, 123, 1673, 488, 887, 1028, 159, 457, 544, 1707, 410, 1720, 1761, 725, 835, 992, 522, 357, 681, 590, 1171, 1527, 28, 1317, 378, 37]",31304,32000,696,0.3629842740047025,,0.1,0.6,800,5,5,34,50,7,
stochastic_distorted_greedy_0.1,"[708, 1719, 50, 155, 526, 412, 508, 892, 1717, 110, 1584, 1692, 382, 790, 1563, 1604, 563, 1423, 1421, 1510, 1487, 1351, 1304, 1465, 41, 984, 1232, 815, 256, 1363, 933, 1188, 1432, 887, 334, 152, 869]",33024,33600,576,0.3206120830000145,,0.1,0.7,800,5,5,35,50,7,
stochastic_distorted_greedy_0.1,"[1376, 1177, 777, 905, 462, 388, 1522, 477, 26, 93, 590, 332, 192, 515, 1503, 492, 1313, 120, 352, 1319, 1421, 1118, 500, 6, 977, 37, 1346, 110, 256, 634, 596, 1563, 1086, 1188, 793, 721, 887, 1314]",32696,33600,904,0.3879080099941348,,0.1,0.8,800,5,5,35,50,7,
stochastic_distorted_greedy_0.1,"[318, 1049, 679, 695, 484, 717, 1648, 1598, 255, 1718, 1371, 425, 493, 181, 602, 1120, 384, 1706, 474, 1313, 1640, 1171, 1661, 53, 1525, 428, 540, 705, 592, 1465, 256]",35529,36000,471,0.4549934120004764,,0.1,0.9,800,5,5,35,50,7,
stochastic_distorted_greedy_0.1,"[475, 1066, 183, 230, 1, 910, 1689, 979, 1362, 461, 156, 1032, 822, 753, 1664, 1004, 440, 1629, 366, 92, 78, 427, 1570, 1503, 1265, 719, 950, 1314, 1295, 1319, 202, 1694]",35449,36000,551,0.5234020659991074,,0.1,1.0,800,5,5,35,50,7,
stochastic_distorted_greedy_0.1,[],0,0,0,0.00040991699643200247,,0.1,0.001,800,0,3,1,50,8,
stochastic_distorted_greedy_0.1,"[557, 337, 397, 606, 427, 1315, 368, 1362, 413, 1606, 1144, 706, 1446, 1679, 110, 655, 58]",18030,18400,370,0.0378437830004259,,0.1,0.1,800,5,5,24,50,8,
stochastic_distorted_greedy_0.1,"[675, 1000, 548, 887, 686, 1389, 332, 881, 670, 1335, 12, 1279, 1288, 573, 1546, 993, 989, 120, 110, 471, 1504, 1266, 745, 1616, 230, 1161, 1008]",23400,24000,600,0.1288065189946792,,0.1,0.2,800,5,5,28,50,8,
stochastic_distorted_greedy_0.1,"[363, 1300, 1245, 616, 966, 471, 573, 12, 1306, 312, 472, 925, 1127, 1335, 477, 279, 1221, 1192, 1546, 1319, 1672, 1014, 353, 1011, 745, 1133, 693, 719, 655, 705, 887, 629]",28193,28800,607,0.1238435799969011,,0.1,0.3,800,5,5,31,50,8,
stochastic_distorted_greedy_0.1,"[1354, 258, 433, 429, 1454, 81, 162, 388, 1014, 881, 101, 793, 1672, 879, 1072, 953, 539, 1707, 989, 887, 1614, 629, 145, 1431, 545, 880, 1552, 37, 693, 1608, 110]",28904,29600,696,0.2302853880028124,,0.1,0.4,800,5,5,32,50,8,
stochastic_distorted_greedy_0.1,"[784, 989, 1704, 286, 1389, 680, 1608, 1264, 1761, 1150, 344, 391, 91, 815, 353, 1391, 81, 263, 837, 1641, 318, 880, 887, 796, 360, 248, 553, 793, 1625, 1729, 1319, 1288, 849, 1341]",32970,33600,630,0.24079945999983465,,0.1,0.5,800,5,5,34,50,8,
stochastic_distorted_greedy_0.1,"[1211, 1424, 789, 1311, 245, 1416, 360, 1607, 1486, 1191, 117, 1413, 1315, 1200, 463, 796, 334, 706, 627, 1523, 0, 519, 606, 398, 346, 1005, 1604, 1608, 1270, 1224, 215, 1052, 522, 1759, 629, 859, 970]",34486,35200,714,0.3086746140033938,,0.1,0.6,800,5,5,35,50,8,
stochastic_distorted_greedy_0.1,"[547, 1313, 1669, 1707, 1413, 546, 1245, 256, 0, 1711, 47, 1032, 63, 215, 577, 1717, 1153, 60, 1041, 219, 1227, 1188, 752, 1424, 890, 894, 1735, 946, 88, 747, 970, 408, 1391, 889, 1288, 629, 887]",34546,35200,654,0.4080249099934008,,0.1,0.7,800,5,5,35,50,8,
stochastic_distorted_greedy_0.1,"[1655, 1068, 871, 592, 1714, 1000, 1639, 706, 222, 0, 1115, 122, 1441, 1063, 1180, 506, 41, 1084, 849, 1161, 1152, 1366, 832, 540, 1319, 1352, 1448, 629, 1687]",35415,36000,585,0.523960304002685,,0.1,0.8,800,5,5,35,50,8,
stochastic_distorted_greedy_0.1,"[1472, 1692, 876, 321, 531, 1102, 429, 709, 633, 245, 1329, 1074, 1361, 1076, 452, 1054, 903, 414, 1225, 908, 1607, 754, 1687, 656, 1633, 1539, 927, 849, 832, 869]",35380,36000,620,0.4684082489984576,,0.1,0.9,800,5,5,35,50,8,
stochastic_distorted_greedy_0.1,"[867, 174, 924, 795, 1481, 220, 1762, 1575, 597, 744, 569, 86, 1684, 1383, 1697, 1062, 1490, 1253, 730, 690, 701, 602, 974, 202, 464, 1517, 425, 862, 1694]",35478,36000,522,0.5783079469983932,,0.1,1.0,800,5,5,35,50,8,
stochastic_distorted_greedy_0.1,[],0,0,0,0.0004204680008115247,,0.1,0.001,800,0,0,1,50,9,
stochastic_distorted_greedy_0.1,"[1684, 1543, 1102, 916, 900, 1485, 1217, 1208, 426, 39, 1465, 510, 1762, 345, 787, 229, 649, 880, 1251, 478, 779, 226]",20431,20800,369,0.03772711100464221,,0.1,0.1,800,5,5,25,50,9,
stochastic_distorted_greedy_0.1,"[97, 1273, 1636, 741, 1495, 1707, 709, 612, 289, 1303, 166, 1562, 1333, 458, 6, 1301, 900, 1608, 1234, 880, 1467, 1191, 1054, 1244, 1694]",26829,27200,371,0.07890355399285909,,0.1,0.2,800,5,5,30,50,9,
stochastic_distorted_greedy_0.1,"[1147, 1368, 1519, 1562, 380, 517, 429, 118, 236, 1684, 1086, 374, 616, 1366, 100, 1208, 612, 1637, 1112, 1102, 1552, 681, 332, 1319, 800, 502]",27499,28000,501,0.1177538940028171,,0.1,0.3,800,5,5,32,50,9,
stochastic_distorted_greedy_0.1,"[1586, 1196, 1217, 188, 1608, 309, 1498, 412, 1467, 509, 362, 45, 223, 418, 312, 927, 461, 367, 213, 681, 687, 815, 1567, 454, 1411, 634, 1173, 613, 540, 849, 1191, 1102, 37, 1343, 1188, 1465]",31340,32000,660,0.18392957400646992,,0.1,0.4,800,5,5,34,50,9,
stochastic_distorted_greedy_0.1,"[284, 881, 330, 141, 471, 1301, 1147, 1216, 1644, 1673, 553, 815, 1413, 65, 1498, 333, 666, 1608, 1436, 590, 1312, 770, 1181, 1273, 540, 40, 563, 592, 709, 1188, 1707, 37, 613, 256]",30497,31200,703,0.29049521600245504,,0.1,0.5,800,5,5,34,50,9,
stochastic_distorted_greedy_0.1,"[1153, 771, 1494, 1061, 628, 1407, 224, 1176, 903, 712, 1656, 1703, 599, 1710, 629, 891, 1231, 1366, 1440, 1707, 1301, 858, 62, 1726, 1255, 747, 256, 1188, 787, 1465, 1045, 849, 1319, 887, 37, 613]",33612,34400,788,0.3196067440003389,,0.1,0.6,800,5,5,34,50,9,
stochastic_distorted_greedy_0.1,"[865, 878, 536, 223, 75, 308, 1381, 367, 760, 788, 1425, 1678, 520, 1621, 256, 689, 1485, 1193, 488, 279, 796, 903, 789, 858, 1313, 747, 636, 1723, 793, 894, 1694, 832, 1551]",32044,32800,756,0.4736763670007349,,0.1,0.7,800,5,5,34,50,9,
stochastic_distorted_greedy_0.1,"[1636, 1033, 1620, 267, 156, 1456, 951, 687, 979, 1280, 345, 1674, 604, 532, 872, 1604, 747, 1629, 466, 1099, 1723, 1061, 942, 284, 1460, 1270, 1391, 250, 681, 1191, 1294, 1694, 1551, 1352, 334, 540, 458, 1309, 1188]",35315,36000,685,0.5912560720025795,,0.1,0.8,800,5,5,35,50,9,
stochastic_distorted_greedy_0.1,"[171, 478, 1437, 1423, 1068, 766, 594, 475, 1103, 1540, 586, 1566, 1302, 404, 192, 1345, 627, 1319, 88, 664, 977, 1174, 514, 828, 916, 428, 832, 1723, 352, 887, 1254, 454, 613, 909, 237, 253, 1517]",35397,36000,603,0.5298176399955992,,0.1,0.9,800,5,5,35,50,9,
stochastic_distorted_greedy_0.1,"[1053, 738, 710, 975, 823, 1749, 125, 1429, 1727, 85, 1225, 1192, 936, 430, 946, 419, 241, 239, 1539, 115, 711, 78, 1687, 179, 526, 1168, 1535, 1545, 719, 1319, 356]",35465,36000,535,0.8552207009997801,,0.1,1.0,800,5,5,35,50,9,
stochastic_distorted_greedy_0.1,[],0,0,0,0.00029737800650764257,,0.1,0.001,800,1,3,1,50,10,
stochastic_distorted_greedy_0.1,"[895, 666, 669, 1080, 1558, 418, 301, 31, 130, 1175, 427, 614, 1357, 980, 1203, 1346, 123, 383, 1510]",19651,20000,349,0.040675956995983135,,0.1,0.1,800,5,5,25,50,10,
stochastic_distorted_greedy_0.1,"[211, 1565, 174, 1349, 1428, 34, 1080, 1626, 203, 1053, 820, 1171, 612, 1351, 130, 1256, 1721, 778, 957, 649, 1543, 608, 1014, 366, 1357, 907, 1235]",25034,25600,566,0.07757390400365692,,0.1,0.2,800,5,5,30,50,10,
stochastic_distorted_greedy_0.1,"[781, 871, 1369, 68, 679, 64, 1005, 332, 588, 423, 1687, 334, 1580, 1662, 1495, 996, 1181, 981, 942, 125, 131, 1053, 312, 1191, 1203, 270, 1631, 1597, 613, 811, 1171, 1086]",29903,30400,497,0.11510976900171956,,0.1,0.3,800,5,5,33,50,10,
stochastic_distorted_greedy_0.1,"[1641, 703, 1167, 1080, 97, 60, 447, 48, 317, 811, 857, 1081, 990, 861, 1441, 1415, 1191, 312, 458, 174, 1061, 68, 1171, 1506, 589, 1516, 483, 1453, 1174, 1317, 539, 1436, 1235, 301, 894, 366]",31311,32000,689,0.16333047499938402,,0.1,0.4,800,5,5,34,50,10,
stochastic_distorted_greedy_0.1,"[1577, 1031, 528, 413, 1416, 1018, 76, 1266, 341, 39, 228, 1074, 786, 1118, 1652, 1015, 1639, 287, 558, 345, 1436, 617, 897, 1192, 590, 312, 1672, 1349, 613, 887, 894, 756]",32282,32800,518,0.2746158199952333,,0.1,0.5,800,5,5,34,50,10,
stochastic_distorted_greedy_0.1,"[1261, 1189, 1193, 60, 35, 495, 721, 1347, 345, 963, 890, 267, 922, 418, 718, 1746, 1659, 1466, 758, 1655, 458, 23, 1014, 869, 1600, 996, 1015, 1309, 576, 174, 366]",33036,33600,564,0.33770481399551505,,0.1,0.6,800,5,5,34,50,10,
stochastic_distorted_greedy_0.1,"[1089, 612, 1288, 53, 33, 930, 1487, 434, 614, 1416, 318, 1466, 773, 1176, 802, 1369, 853, 793, 1255, 353, 665, 510, 408, 179, 1162, 1576, 971, 20, 832, 1319, 1031, 970, 719, 1309]",35296,36000,704,0.3596001249970868,,0.1,0.7,800,5,5,35,50,10,
stochastic_distorted_greedy_0.1,"[1641, 518, 890, 48, 649, 1676, 898, 903, 1302, 366, 1745, 1016, 1404, 1221, 1743, 1665, 1398, 954, 613, 596, 1307, 906, 53, 635, 1176, 1423, 880, 1672, 410, 1363]",35477,36000,523,0.4510612470039632,,0.1,0.8,800,5,5,35,50,10,
stochastic_distorted_greedy_0.1,"[39, 569, 705, 171, 1001, 1157, 1731, 1543, 1112, 456, 414, 220, 1551, 1682, 325, 262, 454, 539, 523, 1408, 136, 1467, 1314, 1729, 869, 1640]",35444,36000,556,0.5586954560058075,,0.1,0.9,800,5,5,35,50,10,
stochastic_distorted_greedy_0.1,"[551, 103, 32, 1204, 1478, 376, 137, 627, 1483, 340, 18, 1520, 1409, 717, 0, 556, 1225, 1447, 432, 1169, 453, 1514, 892, 1664, 1250, 1539, 592, 252, 1319, 805, 1298, 869]",35475,36000,525,0.6192309269972611,,0.1,1.0,800,5,5,35,50,10,
stochastic_distorted_greedy_0.05,[523],2390,2400,10,0.0003295739952591248,,0.05,0.001,800,1,3,1,50,6,
stochastic_distorted_greedy_0.05,"[1462, 1679, 356, 178, 406, 1526, 1370, 1744, 1072, 1639, 1104, 1111, 1453, 88, 1601, 502, 653, 1070, 92, 1206, 1702, 1008, 1152, 1736, 1522]",21890,22400,510,0.0719810829978087,,0.05,0.1,800,5,5,25,50,6,
stochastic_distorted_greedy_0.05,"[843, 1324, 1008, 1591, 356, 111, 1622, 519, 1522, 1152, 737, 691, 1184, 653, 360, 933, 1169, 256, 396, 718, 1444, 1206, 1550, 681, 563, 174, 1164, 1391, 179, 1552, 796, 296]",26528,27200,672,0.07037871800275752,,0.05,0.2,800,5,5,30,50,6,
stochastic_distorted_greedy_0.05,"[488, 382, 492, 1310, 1284, 1679, 1553, 782, 386, 522, 963, 263, 37, 592, 800, 894, 116, 264, 1714, 503, 1640, 307, 681, 927, 1580, 296, 359, 176, 122, 256, 1694]",29776,30400,624,0.12199570800294167,,0.05,0.3,800,5,5,33,50,6,
stochastic_distorted_greedy_0.05,"[1138, 15, 872, 312, 106, 353, 457, 544, 134, 477, 711, 1578, 371, 974, 613, 784, 37, 729, 1694, 1702, 1334, 927, 1406, 394, 600, 1631, 741, 356, 1739, 1038, 137, 1540, 1192, 152, 122]",31249,32000,751,0.15217087899509352,,0.05,0.4,800,5,5,33,50,6,
stochastic_distorted_greedy_0.05,"[687, 43, 619, 524, 1373, 1043, 178, 900, 888, 1649, 528, 711, 681, 1498, 1465, 1406, 1462, 1729, 933, 174, 232, 613, 176, 534, 815, 250, 1174, 563, 993, 1694, 600, 12, 796]",32938,33600,662,0.2327950649996637,,0.05,0.5,800,5,5,34,50,6,
stochastic_distorted_greedy_0.05,"[460, 121, 1029, 37, 1745, 971, 376, 239, 701, 1608, 105, 291, 1493, 1103, 827, 368, 1216, 849, 1636, 878, 178, 566, 1738, 1652, 1026, 0, 169, 862, 719, 832, 1694]",33040,33600,560,0.27019062799809035,,0.05,0.6,800,5,5,34,50,6,
stochastic_distorted_greedy_0.05,"[330, 838, 913, 1028, 1155, 1684, 93, 229, 1111, 31, 1179, 325, 1631, 853, 341, 753, 625, 358, 1038, 1633, 1123, 756, 92, 1162, 12, 1293, 1465, 37, 1655, 1231, 796, 849, 832]",34478,35200,722,0.3209378409956116,,0.05,0.7,800,5,5,35,50,6,
stochastic_distorted_greedy_0.05,"[528, 1589, 330, 993, 1739, 1451, 142, 517, 221, 733, 418, 1209, 78, 1736, 452, 885, 916, 1031, 1229, 1061, 1235, 977, 454, 629, 1309, 796, 832, 458, 395, 909]",34723,35200,477,0.4230669009994017,,0.05,0.8,800,5,5,35,50,6,
stochastic_distorted_greedy_0.05,"[528, 237, 7, 1520, 1149, 1591, 596, 1424, 532, 239, 1540, 1436, 811, 123, 1717, 459, 881, 1066, 65, 78, 1353, 1033, 1232, 169, 63, 1620, 1618, 493, 1759, 522, 1637]",34674,35200,526,0.45826424400002,,0.05,0.9,800,5,5,35,50,6,
stochastic_distorted_greedy_0.05,"[1635, 524, 1702, 865, 422, 871, 1433, 938, 340, 455, 516, 373, 1736, 93, 1262, 1328, 829, 717, 613, 862, 1541, 454, 1253, 522, 1517, 517, 796, 1298]",35448,36000,552,0.6755447030009236,,0.05,1.0,800,5,5,35,50,6,
stochastic_distorted_greedy_0.05,[],0,0,0,0.0008121979990391992,,0.05,0.001,800,0,1,1,50,7,
stochastic_distorted_greedy_0.05,"[412, 684, 1575, 377, 895, 1379, 101, 1350, 623, 396, 140, 146, 431, 928, 1285, 1535, 464, 1629, 671, 1171, 1732, 1054]",21140,21600,460,0.038986542997008655,,0.05,0.1,800,5,5,25,50,7,
stochastic_distorted_greedy_0.05,"[228, 725, 947, 1336, 1044, 284, 1561, 325, 341, 507, 1087, 1301, 412, 1227, 553, 1566, 367, 1054, 1008, 1171, 1260, 540, 43, 1732, 1231, 37, 681, 517, 1320]",25796,26400,604,0.12588447100279154,,0.05,0.2,800,5,5,30,50,7,
