alg,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed
cost_scaled_greedy,"{3667, 3989, 1094}",2971,3200,229,0.642806351010222,,,0.005,800,5,40,5,50,6
cost_scaled_lazy_exact_greedy,"{3667, 3989, 1094}",2971,3200,229,0.0005081039853394032,,,0.005,800,5,40,5,50,6
cost_scaled_greedy,"{3427, 2757, 712, 3755, 2750, 1805, 2987, 3791, 2669, 2705, 3054, 3699, 212, 3313, 1335, 1015, 3229, 222}",20294,21600,1306,10.091319539991673,,,0.1,800,5,40,5,50,6
cost_scaled_lazy_exact_greedy,"{2757, 1159, 712, 1805, 212, 3229, 222, 3427, 1571, 3755, 2987, 2669, 3054, 3699, 1335, 1661, 2750}",20319,21600,1281,0.00950395199470222,,,0.1,800,5,40,5,50,6
cost_scaled_greedy,"{776, 3857, 4499, 2327, 4376, 30, 3878, 297, 3755, 2994, 1977, 4539, 1219, 3785, 1999, 3791, 2641, 4561, 981, 1625, 4188, 220, 1761, 1506}",24481,26400,1919,49.2688270980143,,,0.2,800,5,40,5,50,6
cost_scaled_lazy_exact_greedy,"{1219, 776, 3785, 1999, 3791, 3857, 2641, 4561, 981, 2327, 4376, 1625, 220, 30, 929, 1761, 1506, 3878, 297, 3755, 2994, 1977, 4539, 763}",24481,26400,1919,0.018846242979634553,,,0.2,800,5,40,5,50,6
cost_scaled_greedy,"{2176, 1030, 1555, 2463, 175, 1079, 1977, 446, 833, 1219, 3146, 3791, 85, 1622, 222, 863, 3041, 1124, 1895, 1774, 2804, 4346}",26125,27200,1075,107.95552179601509,,,0.3,800,5,40,5,50,6
cost_scaled_lazy_exact_greedy,"{2176, 833, 1219, 1030, 3146, 3791, 1555, 85, 1622, 222, 2463, 863, 3041, 1124, 1895, 1774, 175, 2804, 1079, 1977, 4346, 446}",26125,27200,1075,0.03611017903313041,,,0.3,800,5,40,5,50,6
cost_scaled_greedy,"{4482, 134, 3721, 784, 3088, 2198, 923, 2716, 4386, 419, 1451, 1327, 4532, 2746, 318, 4031, 1604, 1481, 3787, 981, 1625, 1243, 92, 3041, 3937, 2157, 4335, 2032, 4471, 2431}",29439,31200,1761,232.56050095200771,,,0.4,800,5,40,5,50,6
cost_scaled_lazy_exact_greedy,"{4482, 1604, 134, 2431, 3721, 1481, 3787, 784, 3088, 981, 2198, 1625, 923, 2716, 1243, 92, 3041, 4386, 419, 3937, 1451, 2157, 1327, 4335, 2032, 4532, 4471, 2746, 318, 4031}",29439,31200,1761,0.02921800297917798,,,0.4,800,5,40,5,50,6
